schoolCode,schoolName,contactNumber
CG005,St. Xavier's High School Near Avanti Vihar Colony  LabhandiP.O. Ravigram  Raipur  India,"7415048525
"
CG006,St. Xavier's Senior Secondary School Civil Court Road Dhamtari  India,"07722-237099
"
CG007,St. Xavier's High School Borsi - Dhanora Road  P.o. Haunoda  Durg  India,"0788-2340588
"
CG008,Royal Kids' Convent Lalbagh  G.E. Road  Rajnandgaon  India,"07744-220612
"
CG009,Prakash Vidyalaya Kirandul  Bailadila  South Bastar-Dantewada  India,"07857-255969
"
CG010,Carmel Convent English Medium High School Bishrampur Post Office  Bishrampur  Surajpur  India,"07775264229
"
CG011,The Radiant Way School Behind Pt. Ravi Shanker Shukla University Raipur  India,"771-2263566
"
CG012,St. Xavier's High School Chandni Chowk  Saheed Park Road  Jagadalpur  Bastar  India,"07782-231166
"
CG016,Prakash Vidyalaya Bacheli  Bacheli  South Bastar-Dantewada  India,"07857-230248
"
CG017,Carmel Public School Tulsi  Tilda  Raipur  India,"09424211994
"
CG018,Sacred Heart High School Baloda Bazar Raipur  India,"7770937941
"
CG019,Nirmal Niketan School Karli  Dantewada  South Bastar-Dantewada  India,"9893839991
"
CG020,M.S.B. Educational Institute Opp. Dr. Virdi C. T. Scan  M. G. Road  Raipur  India,"6264060649
"
CG021,St. Anne's English Medium School Bhakhara Road  Vill- Banjari  Dhamtari  India,"07745969038
"
CG022,St. Mary's English Medium School Asha Niketan  Pandri P.oRaipur  India,"07712583454
"
CG023,St. Stephen's Model School Village - Narsinghpur  P.O. - Jagdeeshpur  Mahasamund  India,"07724272336
"
CH004,St. Xavier's Senior Secondary School Sector 44 - C Chandigarh  India,"0172-2601706
"
CH005,St. Stephen's School Sector 45 - B Chandigarh  India,"0172-2605767
"
CH007,Tender Heart School Opp. H.No. 670  Sector 33 - B  Chandigarh  India,"0172-2607524
"
CH008,Strawberry Fields High School Sector 26 Chandigarh  India,"0172-2795903
"
DE001,The Frank Anthony Public School Lajpat Nagar IV South Delhi  India,"011-26435996
"
DE004,Swami Hariharanand Public School Yamuna Bazar North Delhi  India,"011-23861517
"
DE005,Don Bosco Technical Institute Okhla  Okhla Road  South Delhi  India,"011-26910729
"
DU001,G E M S Modern Academy P. O. Box No. 53663  Dubai (U.A.E.)  NA  United Arab Emirates,"00971-4-3263339
"
DU002,J.s.s. International School P. O. Box No. 37232  671-1431  Al Barsha SouthDubai (U.A.E.)  NA  United Arab Emirates,"+971-43256886
"
DU003,Ambassador School Street No. 41 A  Mankhool  NA  United Arab Emirates,"+97143983535
"
